cluster_id,member_count,monitor_point_codes
61,34,__620102001;__620102010068;__620102010095;__620102010108;__620102010137;__620102010218;__620102010279;__620102010284;__620102010336;__620102010345;__620102010354;__620102010368;__62010201047301;__620102010489;__620102010490;__620102010539;__620102010541;620102000579;620102000593;620102000597;620102000599;620102000693;620102000694;620102000696;620102000698;620102000719;620102000721;620102000731;620102000732;620102000895;620102000930;620102000931;620102000982;620102010036
67,30,__620102010070;__620102010071;__620102010092;__620102010113;__620102010114;__620102010157;__620102010205;__620102010234;__620102010245;__620102010249;__620102010320;__62010201033301;__620102010355;__620102010404;__620102010433;__620102010506;__620102010549;__620102010550;__620102010552;__620102020017;__62010202002001;__620102020027;__620102020034;__620102020041;620102000548;620102000549;620102000617;620102000762;620102000763;620102000770
64,27,__620102010040;__620102010052;__620102010053;__620102010093;__620102010118;__620102010129;__620102010172;__620102010263;__620102010299;__620102010389;__620102010403;__620102010459;__620102010481;__620102010491;__620102010492;__620102010526;__620102010558;__620102010568;620102000512;620102000513;620102000519;620102000586;620102000652;620102000973;620102000979;620102000983;620102020017
76,21,__62010301000901;__620103010082;__620103010084;__620103010089;__620103010092;__620103010174;__620103010182;__620103010189;__620103020046;__620103020047;620103000189;620103000216;620103000217;620103000278;620103010097;620103010100;620103010102;620103010105;620103010107;620103010108;620103020056
71,20,__62010201022101;__62010201046201;__620103020036;__620103020037;620102000867;620102000868;620102000870;620102000943;620102000944;620102000946;620102000947;620102000948;620102000964;620102000965;620102000967;620102000970;620103000192;620103000193;620103000195;620103000255
369,20,513225010061;513225030104;513225030105;513225030106;513225030107;513225030108;513225030109;513225030110;513225030111;513225030112;513225030116;513225030117;513225030118;513225030119;513225030120;513225030121;513225030123;513225030126;513225030127;513225030196
62,18,__620102010037;__620102010038;__620102010042;__620102010060;__620102010087;__620102010196;__620102010207;__620102010276;__620102010294;__620102010317;__620102010385;__620102010411;__620102010444;__620102010512;__620102010555;620102000493;620102000647;620102010045
115,18,__620105010027;__620105010029;__620105010034;__620105010039;__620105010044;__620105010091;__620105010101;__620105010104;620105000120;620105000121;620105000122;620105000125;620105000128;620105000129;620105000133;620105000134;620105000157;620105030024
70,17,__620102010173;620102000835;620102000842;620102000857;620102000874;620102000875;620102000877;620102000878;620102000892;620102000893;620102010048;620102010049;620102010050;620102010051;620102010052;620102010053;620102010061
93,17,__620104010103;__620104010109;__620104010116;__620104010443;__620104010445;__620104010447;__620104010450;__620104010452;__620104010488;__620104010496;__620104010497;620103030054;620104010127;620104010128;620104010137;620104010178;620104010194
95,17,__620104010119;__620104010121;__620104010124;__620104010128;__620104010129;__620104010238;__620104010241;__620104010390;__620104010391;__620104010392;__620104010394;__620104010479;__620104010480;__620104010482;__620104010484;620104010180;620104030042
114,16,__620105010008;__620105010009;__620105010010;__620105010012;__620105010014;__620105010017;__620105010019;__620105010020;__620105010021;__620105010022;__620105010026;__620105010028;620102000692;620102000848;620105000111;620105020002
63,15,__620102010039;__620102010058;__620102010115;__620102010134;__620102010195;__620102010200;__620102010412;__620102010440;__620102010562;620102000527;620102000564;620102000622;620102000669;620102000672;620102030049
100,15,__620104010179;__620104010181;__620104010182;__620104010184;__620104010185;__620104010325;__62010401032601;__620104010327;__620104010328;__620104010329;__620104010331;620104000647;620104030029;620104030037;620104030050
75,14,__620102010474;__620102010483;620102010037;620102010038;620102010039;620102010040;620102010041;620102010042;620102010063;620102010067;620102010068;620102010069;620102010070;620102030063
91,14,__620104010093;__620104010133;__620104010134;__620104010137;__620104010140;__620104010142;620103030055;620104000614;620104000639;620104010139;620104010140;620104010156;620104010182;620104010200
116,13,__620105010048;__620105010050;__620105010052;__620105010054;__620105010056;__620105010058;__620105010059;__620105010092;620105000093;620105000136;620105000138;620105030027;620105030029
66,12,__620102010065;__620102010116;__620102010192;__620102010313;__620102010342;__620102010398;__620102010421;__620102020032;620102000592;620102000607;620102020026;620102030048
87,12,__620103020004;620103000219;620103010053;620103010054;620103010055;620103010095;620103010096;620103020047;620103020051;620103020053;620103030070;620103040004
68,10,__620102010103;__620102010122;__620102010169;__620102010184;__620102010397;__620102010431;__620102010520;__620102010521;__620102020024;620102020016
102,10,__620104010200;__620104010357;__62010401035901;__620104010360;__62010401036101;__62010401036201;__620104010363;620104000420;620104000764;620104000766
106,10,__620104010233;__620104010345;__620104010376;__620104010377;__620104010378;__620104010379;__620104010381;__620104010383;__620104020022;620104000661
31,9,630122010185;630122010225;630122020045;__630122011038;__630122011058;__630122011060;__630122011061;__630122011062;__630122011462
90,9,__62010401008001;__620104010260;__620104010263;__620104010422;620104000411;620104000412;620104000524;620104010107;620104010165
97,9,__620104010157;__620104010158;__620104010210;__620104020023;620104000489;620104000490;620104000703;620104000762;620104000763
77,8,__620103010075;620103000265;620103010073;620103010090;620103020037;620103020040;620103020041;620103020045
301,8,610925010120;610925010128;610925010132;610925010133;610925010134;610925010141;610925010142;610925030011
65,7,__620102010045;__620102010130;__620102010532;__620102020037;620102000771;620102000772;620102000780
80,7,__620103010111;__620103010204;620103000159;620103000239;620103000280;620103000281;620103010061
88,7,__620103020050;620103000160;620103000161;620103000284;620103010093;620103020035;620103020036
117,7,__620105010062;__620105010065;__620105010086;__620105010090;__620105010094;__62010503001401;620105000100
120,7,__620105010131;__620105010132;__620105020010;__620105020011;__620122010061;__620122010098;__620122020055
177,7,__62292301012101;__62292301012201;__62292301012901;__62292301017301;__62292301017401;622923010046;622923030083
178,7,__62292301012601;__62292301012701;__62292301012801;__62292301013601;__62292301013701;__62292301014101;__62292301024701
232,7,420324000304;420324010041;420324010258;420324010382;420324010389;420324010390;420324010413
12,6,623023010145;623023010158;623023010493;__623023010046;__623023010047;621223010122
16,6,630102010081;630102030002;630102030006;630102030016;630102030018;630102030020
54,6,__610303010011;610303010043;610303010044;610303010045;610303010051;610303010103
74,6,__620102010470;620102000574;620102000575;620102000580;620102000746;620102010057
85,6,__620103010176;__620103010188;620103010052;620103020031;620103020032;620103020033
89,6,__62010303001901;620103000188;620103000208;620103000210;620103000232;620103000235
92,6,__620104010094;__620104010131;__620104010223;__620104010227;__620104010486;620104010169
113,6,__620104010404;__620104010405;__620104010464;__620104010468;__620104010475;__620104010498
123,6,__620123010063;__620123010064;__62012301008401;__620123010085;__620123020097;620123010074
140,6,__62082201003001;__620822020027;__62082202012901;620822020006;620822020007;620822020016
163,6,__62120201010701;__62120201024001;__621202012075;621202011107;621202011372;621202011740
222,6,420323010514;420323010520;420323010539;420323011091;420323011107;420323011118
245,6,610303010010;610303010011;610303010014;610303010018;610303010019;610303010097
7,5,623023000016;623023010091;623023010134;623023030109;__623023010953
21,5,630121020026;__630121011031;__630121011032;__630121012310;__630121012311
27,5,630122000660;630122010212;__630122000077;__630122011471;__630122021520
