monitor_point_code,monitor_point_name,province_name,city_name,county_name,monitor_point_type,scale,warning_level,longitude,latitude,threaten_population,threaten_residents,threaten_assets,avg_slope,lithology,induce_factors,current_status,is_hidden_danger
140821000014,屈村1#崩塌,山西省,运城市,临猗县,崩塌,小,蓝色,110.399916,35.219025,47.0,12.0,51.0,,,"地震,冻融,切坡,加载",,0
140821000015,屈村2#崩塌,山西省,运城市,临猗县,崩塌,未分级,未定级,110.399638,35.224138,0.0,0.0,0.0,,,,,0
140821000031,西仪村2#崩塌,山西省,运城市,临猗县,崩塌,大,黄色,110.367686,35.061583,82.0,40.0,130.0,,,,,0
140821000032,西仪村3#崩塌,山西省,运城市,临猗县,崩塌,未分级,未定级,110.367425,35.058416,0.0,0.0,0.0,,,,,0
140830000122,古伦村洼里组潜在崩塌,山西省,运城市,芮城县,崩塌,未分级,未定级,110.325777,34.710861,0.0,0.0,0.0,,,,,0
140830000124,七里村七里组2号潜在崩塌,山西省,运城市,芮城县,崩塌,未分级,未定级,110.3415,34.70975,0.0,0.0,0.0,,,,,0
140830010002,南辿村张家山组潜在滑坡,山西省,运城市,芮城县,滑坡,大,未定级,110.50125,34.77575,51.0,32.0,670.0,,,"降雨,人为因素,其他",,0
140830010003,南辿村李家山组滑坡,山西省,运城市,芮城县,滑坡,大,橙色,110.51275,34.767888,172.0,43.0,548.0,,,,,0
140830010005,前坪村前坪组潜在滑坡,山西省,运城市,芮城县,滑坡,中,蓝色,110.552138,34.759277,91.0,21.0,100.0,,,降雨,,0
140830010006,前坪村庙胡同组潜在滑坡,山西省,运城市,芮城县,滑坡,中,未定级,110.5467,34.7533,54.0,12.0,50.2,,,降雨,,0
140830020013,七里村七里组崩塌,山西省,运城市,芮城县,崩塌,小,蓝色,110.338055,34.708333,37.0,10.0,20.0,,,"降雨,人为因素,其他",,0
140830020014,七里村七里舞台附近崩塌,山西省,运城市,芮城县,崩塌,未分级,未定级,110.335913,34.708055,0.0,0.0,0.0,,,,,0
140830020015,杨涧村见帝组潜在崩塌,山西省,运城市,芮城县,崩塌,小,未定级,110.460416,34.650283,32.0,11.0,7.0,,,"降雨,人为因素,其他",,0
140830020016,杜家村杜西组潜在崩塌,山西省,运城市,芮城县,崩塌,小,蓝色,110.599666,34.690611,25.0,10.0,97.5,,,"降雨,人为因素,其它",,0
140830020023,七里村一组崩塌,山西省,运城市,芮城县,崩塌,未分级,未定级,110.337611,34.710333,0.0,0.0,0.0,,,,,0
140830020026,匼河村1号崩塌隐患点,山西省,运城市,芮城县,崩塌,未分级,未定级,110.274861,34.665861,0.0,0.0,0.0,,,,,0
140830020027,大王镇斜坡村委会芮城县大王镇斜坡村前坪村庙胡同组崩塌隐患点,山西省,运城市,芮城县,崩塌,未分级,未定级,110.55,34.752972,0.0,0.0,0.0,,,,,0
140830020042,阳城镇孙涧村委会芮城县阳城镇孙涧村封涧组崩塌隐患点,山西省,运城市,芮城县,崩塌,中,未定级,110.499711,34.650008,35.0,14.0,135.0,,,,,0
140830020078,观后村韩卓组崩塌隐患点,山西省,运城市,芮城县,崩塌,小,橙色,110.525465,34.699707,43.0,15.0,36.0,,,,,0
140830020087,杜家庄村石家咀崩塌隐患点,山西省,运城市,芮城县,崩塌,小,黄色,110.603286,34.654622,123.0,35.0,143.0,,,"地震,降雨",,0
140830020101,李涧村牛家坡组一组崩塌,山西省,运城市,芮城县,崩塌,未分级,红色,110.536944,34.646944,0.0,0.0,0.0,,,,,0
140881000001,城西办张华村北坡组崩塌,山西省,运城市,永济市,崩塌,小,蓝色,110.400555,34.881111,53.0,12.0,120.0,,,,,0
140881000004,蒲州镇西厢村崩塌,山西省,运城市,永济市,崩塌,中,蓝色,110.325277,34.843888,42.0,15.0,100.0,,,,,0
140881000005,蒲州镇花园村崩塌,山西省,运城市,永济市,崩塌,中,未定级,110.324444,34.841111,71.0,26.0,300.0,,,,,0
140881000006,蒲州镇西厢村旅游公路北侧崩塌,山西省,运城市,永济市,崩塌,中,蓝色,110.329722,34.844722,46.0,18.0,100.0,,,"地震,降雨",,0
141032000006,望海寺乡李家垣村委会永和县望海寺乡李家垣村贺家腰村东100米处崩塌,山西省,临汾市,永和县,崩塌,小,蓝色,110.434444,36.776111,23.0,10.0,60.0,,,,,0
141032000007,山西省永和县望海寺乡贺家河村崩塌1#,山西省,临汾市,永和县,崩塌,未分级,未定级,110.436388,36.79,0.0,0.0,0.0,,,,,0
141032000026,山西省永和县望海寺乡枣山只村崩塌,山西省,临汾市,永和县,崩塌,未分级,未定级,110.441472,36.807277,0.0,0.0,0.0,,,,,0
141032000134,山西省永和县望海寺乡冯家洼村崩塌,山西省,临汾市,永和县,崩塌,未分级,黄色,110.493333,36.755,0.0,0.0,0.0,,,,,0
141032029261,望海寺乡李家垣村委会永和县望海寺乡李家垣村贺家腰村东100米处崩塌,山西省,临汾市,永和县,崩塌,未分级,蓝色,110.434444,36.776111,0.0,0.0,0.0,,,,,0
141124020053,八堡村小河岔沟崩塌,山西省,吕梁市,临县,崩塌,中,未定级,110.518888,38.130833,40.0,12.0,1104.0,,,,,0
141124020074,乔家圪台2号崩塌,山西省,吕梁市,临县,崩塌,中,未定级,110.5775,38.036111,10.0,3.0,10.0,,,,,0
141124020084,乔家圪台3号崩塌,山西省,吕梁市,临县,崩塌,小,未定级,110.578427,38.038184,10.0,3.0,18.0,,,,,0
141126000174,陈家腰村崩塌隐患点,山西省,吕梁市,石楼县,崩塌,未分级,蓝色,110.508055,37.010472,0.0,0.0,0.0,,,,,0
141126000278,张家坡村崩塌隐患点,山西省,吕梁市,石楼县,崩塌,小,蓝色,110.464083,37.015888,12.0,3.0,85.0,,,,,0
141126000287,前山村崩塌隐患点,山西省,吕梁市,石楼县,崩塌,小,未定级,110.452666,36.982916,16.0,3.0,8.5,,,,,0
141126000290,和合村崩塌隐患点,山西省,吕梁市,石楼县,崩塌,未分级,未定级,110.524666,36.929777,0.0,0.0,0.0,,,,,0
141126000294,豆坪村崩塌隐患点,山西省,吕梁市,石楼县,崩塌,小,未定级,110.520944,36.955916,11.0,5.0,2.5,,,,,0
141126000297,寺山村崩塌隐患点2,山西省,吕梁市,石楼县,崩塌,小,未定级,110.489027,36.927944,12.0,3.0,3.0,,,,,0
141126000310,铁头村崩塌隐患点,山西省,吕梁市,石楼县,崩塌,未分级,未定级,110.510055,36.929722,0.0,0.0,0.0,,,,,0
141126020034,北庄村崩塌隐患点,山西省,吕梁市,石楼县,崩塌,大,蓝色,110.460833,36.984611,29.0,10.0,13.0,,,"降雨,人为因素",,0
141126027298,和合乡铁头村委会石楼县和合乡铁头村寺山村崩塌隐患点,山西省,吕梁市,石楼县,崩塌,未分级,未定级,110.49025,36.929525,0.0,0.0,0.0,,,,,0
141126027887,辛关镇张家坡村委会石楼县辛关镇张家坡村崩塌隐患点,山西省,吕梁市,石楼县,崩塌,未分级,蓝色,110.466444,37.015306,0.0,0.0,0.0,,,,,0
622926010382,那勒寺镇刘家沟沟口东侧滑坡,甘肃省,临夏回族自治州,东乡族自治县,滑坡,未分级,未定级,103.47396,35.551329,120.0,0.0,640.0,,,"降雨,人为因素",,0
622926010393,百和乡王家川村五社滑坡,甘肃省,临夏回族自治州,东乡族自治县,滑坡,未分级,未定级,103.297838,35.589695,40.0,0.0,180.0,,,降雨,,0
622926010395,考勒乡三塬村滑坡,甘肃省,临夏回族自治州,东乡族自治县,滑坡,未分级,未定级,103.288917,35.852167,87.0,0.0,400.0,,,"降雨,人为因素",,0
622926010398,沿岭乡和平村漆土滑坡,甘肃省,临夏回族自治州,东乡族自治县,滑坡,未分级,黄色,103.44658,35.688117,50.0,0.0,300.0,,,降雨,,0
622926010400,柳树乡大仲家山村尕小塬社滑坡,甘肃省,临夏回族自治州,东乡族自治县,滑坡,未分级,未定级,103.260648,35.736249,60.0,0.0,300.0,,,降雨,,0
622926010412,百和乡达柴坪村7社滑坡,甘肃省,临夏回族自治州,东乡族自治县,滑坡,未分级,未定级,103.352188,35.555587,42.0,0.0,235.0,,,降雨,,0
622926010416,东源乡赵家村赵家社村道边坡滑坡,甘肃省,临夏回族自治州,东乡族自治县,滑坡,未分级,蓝色,103.347448,35.641957,45.0,0.0,240.0,,,降雨,,0
622926010417,东源乡赵家村丁家社马洒力哈家东南侧滑坡,甘肃省,临夏回族自治州,东乡族自治县,滑坡,未分级,未定级,103.346617,35.637168,45.0,0.0,240.0,,,降雨,,0
622926010419,考勒乡岘子村上湾社滑坡,甘肃省,临夏回族自治州,东乡族自治县,滑坡,未分级,未定级,103.336544,35.807057,30.0,0.0,150.0,,,降雨,,0
622926030050,拉砂沟,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,红色,103.627427,35.726728,2000.0,0.0,2000.0,,,"降雨,人为因素",,0
622926030051,砂沟,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,未定级,103.536988,35.792687,180.0,0.0,560.0,,,"降雨,人为因素",,0
622926030057,张尕拉沟,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,未定级,103.590405,35.772879,150.0,0.0,800.0,,,降雨,,0
622926030061,达板镇舀水村二社泥石流沟,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,未定级,103.602978,35.74116,200.0,0.0,1000.0,,,降雨,,0
622926030066,塔石沟,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,未定级,103.514997,35.83749,110.0,0.0,400.0,,,"降雨,人为因素",,0
622926030068,石拉泉沟,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,蓝色,103.53005,35.546547,560.0,0.0,4000.0,,,降雨,,0
622926030071,达板镇崔家沟泥石流,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,蓝色,103.690527,35.665314,300.0,0.0,1500.0,,,"地震,降雨,人为因素",,0
622926030072,黑儿坪沟,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,未定级,103.691369,35.65994,460.0,0.0,4600.0,,,"降雨,人为因素",,0
622926030073,老庄坪沟,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,未定级,103.715748,35.651717,150.0,0.0,500.0,,,"降雨,人为因素",,0
